图片资产记录键,天气事件编号,事件帧编号,帧序号,样本编号,观测时间,图片类型,图片类型编码,图片文件名,图片URL,GitHub相对路径,服务器图片路径,本地图片路径,是否有图,数据状态,数据版本
real_h8_sccbam_epoch78__REAL_EVT_009_F006__DOUBLE_PANEL,REAL_EVT_009,REAL_EVT_009_F006,6,REAL_H8_20210424081000,2021-04-24 08:10:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210424081000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210424081000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210424081000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210424081000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210424081000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_010_F001__DOUBLE_PANEL,REAL_EVT_010,REAL_EVT_010_F001,1,REAL_H8_20210424082000,2021-04-24 08:20:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210424082000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210424082000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210424082000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210424082000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210424082000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_010_F002__DOUBLE_PANEL,REAL_EVT_010,REAL_EVT_010_F002,2,REAL_H8_20210424094000,2021-04-24 09:40:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210424094000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210424094000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210424094000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210424094000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210424094000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_010_F003__DOUBLE_PANEL,REAL_EVT_010,REAL_EVT_010_F003,3,REAL_H8_20210424105000,2021-04-24 10:50:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210424105000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210424105000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210424105000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210424105000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210424105000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_010_F004__DOUBLE_PANEL,REAL_EVT_010,REAL_EVT_010_F004,4,REAL_H8_20210424115000,2021-04-24 11:50:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210424115000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210424115000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210424115000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210424115000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210424115000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_010_F005__DOUBLE_PANEL,REAL_EVT_010,REAL_EVT_010_F005,5,REAL_H8_20210424150000,2021-04-24 15:00:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210424150000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210424150000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210424150000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210424150000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210424150000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_010_F006__DOUBLE_PANEL,REAL_EVT_010,REAL_EVT_010_F006,6,REAL_H8_20210424151000,2021-04-24 15:10:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210424151000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210424151000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210424151000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210424151000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210424151000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_011_F001__DOUBLE_PANEL,REAL_EVT_011,REAL_EVT_011_F001,1,REAL_H8_20210424152000,2021-04-24 15:20:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210424152000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210424152000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210424152000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210424152000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210424152000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_011_F002__DOUBLE_PANEL,REAL_EVT_011,REAL_EVT_011_F002,2,REAL_H8_20210424155000,2021-04-24 15:50:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210424155000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210424155000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210424155000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210424155000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210424155000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_011_F003__DOUBLE_PANEL,REAL_EVT_011,REAL_EVT_011_F003,3,REAL_H8_20210424171000,2021-04-24 17:10:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210424171000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210424171000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210424171000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210424171000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210424171000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_011_F004__DOUBLE_PANEL,REAL_EVT_011,REAL_EVT_011_F004,4,REAL_H8_20210424174000,2021-04-24 17:40:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210424174000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210424174000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210424174000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210424174000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210424174000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_011_F005__DOUBLE_PANEL,REAL_EVT_011,REAL_EVT_011_F005,5,REAL_H8_20210424204000,2021-04-24 20:40:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210424204000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210424204000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210424204000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210424204000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210424204000.png,1,OK,db03_double_panel_v1
real_h8_sccbam_epoch78__REAL_EVT_011_F006__DOUBLE_PANEL,REAL_EVT_011,REAL_EVT_011_F006,6,REAL_H8_20210425162000,2021-04-25 16:20:00,算法反演与实际观测双栏图,DOUBLE_PANEL_DBZ_20_70,REAL_H8_20210425162000.png,https://raw.githubusercontent.com/Mr-z66/qixiang/main/smartbi_event_images/db03_double_panel/REAL_H8_20210425162000.png,smartbi_event_images/db03_double_panel/REAL_H8_20210425162000.png,/gc/shanhai_etl/smartbi_db03_geo_preview_cn_final/all_double_column_ge20/REAL_H8_20210425162000.png,E:\软工\smartbi\交付物\双栏图增亮\REAL_H8_20210425162000.png,1,OK,db03_double_panel_v1
